node,5398554665,POINT (-5.1806232 50.2597501),,,,GB,TR4 8ND,,,Truro,,,Millstone Cottage,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5429107521,POINT (-5.1720383 50.2619256),,,,GB,TR4 8NT,Wheal Busy Loop,,"Wheal Busy, Chacewater",,,The Grove,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5429107522,POINT (-5.1726927 50.2618776),,,,GB,TR4 8NT,Wheal Busy,,Truro,,,The Rosary,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5429107532,POINT (-5.1687434 50.2634129),,,,GB,TR4 8NS,Station Hill,,Truro,,,Will-O-Wisp,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5429107533,POINT (-5.1690352 50.2634039),,,,GB,TR4 8NS,Station Hill,,Truro,,,Station House,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5429107535,POINT (-5.17232 50.263299),,,,GB,TR4 8NT,Station Road,,"Wheal Busy, Chacewater",,,Trevint,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5508293739,POINT (-5.181862 50.2693917),,,,GB,TR4 8EU,North Hill,,Blackwater,,,Toronto,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,
node,5508293759,POINT (-5.1837261 50.2722773),,,,GB,TR4 8EW,North Hill,,Blackwater,,,Briar Dene,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5508293760,POINT (-5.1842992 50.271978),,,,GB,TR4 8EW,North Hill,,Blackwater,,,Briar Dene Farm,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5508293761,POINT (-5.181946 50.2723648),,,,GB,TR4 8EP,North Hill,,Blackwater,,,Llamedos,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5508293762,POINT (-5.1819904 50.2724737),,,,GB,TR4 8EP,North Hill,,Blackwater,,,Creston,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5508293763,POINT (-5.1818713 50.2727035),,,,GB,TR4 8EP,North Hill,,Blackwater,,,North Hill House,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
